timestamp,exg1,exg2,srate
81.92773,-16550.49,-20282.33,512
81.92969,-16557.25,-20281.13,512
81.93164,-16552.74,-20269.4,512
81.93359,-16560.06,-20272.71,512
81.93555,-16556.29,-20276.16,512
81.9375,-16555.84,-20275.02,512
81.93945,-16554.81,-20275.23,512
81.94141,-16548.98,-20268.37,512
81.94336,-16547.18,-20269.21,512
81.94531,-16551.8,-20267.63,512
81.94727,-16566.42,-20284.53,512
81.94922,-16551.21,-20273.6,512
81.95117,-16565.38,-20272.7,512
81.95312,-16553.58,-20260.74,512
81.95508,-16548.79,-20257.06,512
81.95703,-16559.76,-20259.64,512
81.95898,-16547.62,-20257.43,512
81.96094,-16561.19,-20269.54,512
81.96289,-16571.24,-20278.28,512
81.96484,-16563.25,-20272.68,512
81.9668,-16554.86,-20256.48,512
81.96875,-16569.25,-20269.45,512
81.9707,-16561.32,-20263.07,512
81.97266,-16556.97,-20259.09,512
81.97461,-16565.67,-20261.79,512
81.97656,-16556.57,-20260.38,512
81.97852,-16558.94,-20261.58,512
81.98047,-16554.01,-20252.4,512
81.98242,-16542.32,-20239.59,512
81.98438,-16570,-20254.95,512
81.98633,-16571.47,-20260.63,512
81.98828,-16559.71,-20252.92,512
81.99023,-16562.9,-20271.3,512
81.99219,-16560.12,-20274.26,512
81.99414,-16542.32,-20245.27,512
81.99609,-16543.57,-20244.61,512
81.99805,-16552.3,-20237.44,512
82,-16557.25,-20252.8,512
82.00195,-16546.86,-20240.44,512
82.00391,-16539.66,-20258.34,512
82.00586,-16549.21,-20276.36,512
82.00781,-16564.54,-20281.63,512
82.00977,-16556.06,-20273.67,512
82.01172,-16555.93,-20272.22,512
82.01367,-16559.51,-20280.12,512
82.01562,-16549.09,-20267.29,512
82.01758,-16559.88,-20266.94,512
82.01953,-16560.35,-20254.84,512
82.02148,-16561.02,-20272.87,512
82.02344,-16562.83,-20271.92,512
82.02539,-16546.86,-20264.24,512
82.02734,-16554.57,-20260.88,512
82.0293,-16557.92,-20274.78,512
82.03125,-16553.42,-20259.12,512
82.0332,-16557.34,-20253.86,512
82.03516,-16555.33,-20253.94,512
82.03711,-16544.67,-20239.93,512
82.03906,-16534.43,-20241.79,512
82.04102,-16542.07,-20251.41,512
82.04297,-16549.73,-20259.61,512
82.04492,-16546.39,-20255.5,512
82.04688,-16544.27,-20236.59,512
82.04883,-16555.89,-20237.88,512
82.05078,-16557.64,-20246.71,512
82.05273,-16541.99,-20243.97,512
82.05469,-16550.29,-20240.55,512
82.05664,-16542.24,-20237.13,512
82.05859,-16557.21,-20253.32,512
82.06055,-16555.62,-20246.97,512
82.0625,-16568.82,-20263.25,512
82.06445,-16557.27,-20245.41,512
82.06641,-16559.75,-20243.16,512
82.06836,-16567.93,-20245.15,512
82.07031,-16574.12,-20257.23,512
82.07227,-16566.41,-20256.56,512
82.07422,-16566.85,-20257.5,512
82.07617,-16566.28,-20254.76,512
82.07812,-16570.41,-20259.52,512
82.08008,-16563.34,-20259.43,512
82.08203,-16561.36,-20267.2,512
82.08398,-16565.16,-20258.37,512
82.08594,-16571.7,-20267.22,512
82.08789,-16557.82,-20263.03,512
82.08984,-16568.32,-20268.46,512
82.0918,-16562.88,-20245.99,512
82.09375,-16569.43,-20262.76,512
82.0957,-16565.19,-20262.25,512
82.09766,-16560.56,-20258.05,512
82.09961,-16554.96,-20243.33,512
82.10156,-16555.48,-20240.31,512
82.10352,-16547.73,-20249.23,512
82.10547,-16544.97,-20252.36,512
82.10742,-16548.79,-20246.44,512
82.10938,-16552.34,-20252.39,512
82.11133,-16570.82,-20269.71,512
82.11328,-16568.36,-20254.53,512
82.11523,-16572.61,-20265.38,512
82.11719,-16566.58,-20272.38,512
82.11914,-16576.6,-20279.35,512
82.12109,-16587.23,-20272.64,512
82.12305,-16583.53,-20278.53,512
82.125,-16574.51,-20270.36,512
82.12695,-16578.95,-20268.34,512
82.12891,-16581.57,-20271.53,512
82.13086,-16587.68,-20281.52,512
82.13281,-16579.12,-20271.61,512
82.13477,-16581.33,-20270.28,512
82.13672,-16577.22,-20267.16,512
82.13867,-16569.15,-20270.94,512
82.14062,-16562.79,-20267.11,512
82.14258,-16564.67,-20261.68,512
82.14453,-16565.23,-20265.84,512
82.14648,-16571.51,-20262.61,512
82.14844,-16570.68,-20255.96,512
82.15039,-16557.88,-20247.99,512
82.15234,-16576.98,-20254.9,512
82.1543,-16561.65,-20254.54,512
82.15625,-16542.13,-20245.33,512
82.1582,-16570.85,-20261.6,512
82.16016,-16556.29,-20252.58,512
82.16211,-16546.68,-20238.5,512
82.16406,-16564.7,-20256.64,512
82.16602,-16559.78,-20247.55,512
82.16797,-16528.45,-20239.98,512
82.16992,-16515.42,-20240.94,512
82.17188,-16536.08,-20244.08,512
82.17383,-16558.7,-20255.38,512
82.17578,-16547.18,-20245.5,512
82.17773,-16551.65,-20263.56,512
82.17969,-16547.21,-20265.14,512
82.18164,-16540.54,-20264.18,512
82.18359,-16542.23,-20268.64,512
82.18555,-16544.75,-20266.33,512
82.1875,-16535.59,-20262.51,512
82.18945,-16542.63,-20273.36,512
82.19141,-16538.98,-20276.18,512
82.19336,-16532.32,-20275.33,512
82.19531,-16551.2,-20289.2,512
82.19727,-16564.02,-20287.6,512
82.19922,-16552.83,-20282.47,512
82.20117,-16520.63,-20242.3,512
82.20312,-16537.58,-20266.18,512
82.20508,-16551.48,-20290.52,512
82.20703,-16532.08,-20286.07,512
82.20898,-16541.94,-20292.96,512
82.21094,-16522.52,-20281.31,512
82.21289,-16521.29,-20275.16,512
82.21484,-16526.77,-20273.83,512
82.2168,-16522.48,-20268.46,512
82.21875,-16544.7,-20273.69,512
82.2207,-16531.69,-20260.72,512
82.22266,-16524.56,-20258.94,512
82.22461,-16526.75,-20263.78,512
82.22656,-16528.39,-20270.89,512
82.22852,-16515.08,-20244.77,512
